A;POLJOPRIVREDA, ŠUMARSTVO I RIBARSTVO
531;Djelatnosti pružanja univerzalnih poštanskih usluga
5310;Djelatnosti pružanja univerzalnih poštanskih usluga
53100;Djelatnosti pružanja univerzalnih poštanskih usluga
532;Djelatnosti pružanja ostalih poštanskih i kurirskih usluga
5320;Djelatnosti pružanja ostalih poštanskih i kurirskih usluga
53200;Djelatnosti pružanja ostalih poštanskih i kurirskih usluga
533;Uslužne djelatnosti posredovanja u pružanju poštanskih i kurirskih usluga 
5330;Uslužne djelatnosti posredovanja u pružanju poštanskih i kurirskih usluga 
53300;Uslužne djelatnosti posredovanja u pružanju poštanskih i kurirskih usluga 
I;SMJEŠTAJ TE PRIPREMA I USLUŽIVANJE HRANE
55;Smještaj
551;Hoteli i sličan smještaj
5510;Hoteli i sličan smještaj
55100;Hoteli i sličan smještaj
552;Odmarališta i slični objekti za kraći odmor
5520;Odmarališta i slični objekti za kraći odmor
55200;Odmarališta i slični objekti za kraći odmor
553;Kampovi i prostori za kampiranje
5530;Kampovi i prostori za kampiranje
55300;Kampovi i prostori za kampiranje
554;Uslužne djelatnosti posredovanja u pružanju smještaja
5540;Uslužne djelatnosti posredovanja u pružanju smještaja
55400;Uslužne djelatnosti posredovanja u pružanju smještaja
559;Ostali smještaj
5590;Ostali smještaj
55900;Ostali smještaj
56;Djelatnosti pripreme i usluživanja hrane i pića
561;Djelatnosti restorana i pokretne djelatnosti usluživanja hrane
5611;Djelatnosti restorana
56110;Djelatnosti restorana
5612;Pokretne djelatnosti usluživanja hrane
56120;Pokretne djelatnosti usluživanja hrane
562;Djelatnosti keteringa za razna događanja, usluge keteringa na osnovi ugovora i ostale djelatnosti pripreme i usluživanja hrane
5621;Djelatnosti keteringa za razna događanja
56210;Djelatnosti keteringa za razna događanja
5622;Usluge keteringa na osnovi ugovora i ostale djelatnosti pripreme i usluživanja hrane
56220;Usluge keteringa na osnovi ugovora i ostale djelatnosti pripreme i usluživanja hrane
563;Djelatnosti pripreme i usluživanja pića
5630;Djelatnosti pripreme i usluživanja pića
56300;Djelatnosti pripreme i usluživanja pića
564;Uslužne djelatnosti posredovanja u pripremi i usluživanju hrane i pića
5640;Uslužne djelatnosti posredovanja u pripremi i usluživanju hrane i pića
56400;Uslužne djelatnosti posredovanja u pripremi i usluživanju hrane i pića
J;IZDAVAČKE DJELATNOSTI, DJELATNOSTI EMITIRANJA TE PROIZVODNJE I DISTRIBUCIJE SADRŽAJA
58;Izdavačke djelatnosti
581;Izdavanje knjiga, novina i ostale izdavačke djelatnosti, osim izdavanja softvera
5811;Izdavanje knjiga
58111;Izdavanje udžbenika
58119;Izdavanje ostalih knjiga
5812;Izdavanje novina
58120;Izdavanje novina
5813;Izdavanje časopisa i periodičnih publikacija
58130;Izdavanje časopisa i periodičnih publikacija
5819;Ostale izdavačke djelatnosti, osim izdavanja softvera
58190;Ostale izdavačke djelatnosti, osim izdavanja softvera
582;Izdavanje softvera
5821;Izdavanje videoigara
58210;Izdavanje videoigara
5829;Ostalo izdavanje softvera
58290;Ostalo izdavanje softvera
59;Proizvodnja filmova, videofilmova i televizijskog programa, djelatnosti snimanja zvučnih zapisa i izdavanja glazbenih zapisa
591;Proizvodnja i distribucija filmova, videofilmova i televizijskog programa
5911;Proizvodnja filmova, videofilmova i televizijskog programa
59110;Proizvodnja filmova, videofilmova i televizijskog programa
5912;Djelatnosti koje slijede nakon proizvodnje filmova i videofilmova i televizijskog programa
59120;Djelatnosti koje slijede nakon proizvodnje filmova i videofilmova i televizijskog programa
5913;Distribucija filmova, videofilmova i televizijskog programa
59130;Distribucija filmova, videofilmova i televizijskog programa
5914;Djelatnosti prikazivanja filmova
59140;Djelatnosti prikazivanja filmova
592;Djelatnosti snimanja zvučnih zapisa i izdavanja glazbenih zapisa
5920;Djelatnosti snimanja zvučnih zapisa i izdavanja glazbenih zapisa
59200;Djelatnosti snimanja zvučnih zapisa i izdavanja glazbenih zapisa
60;Emitiranje radijskog i televizijskog programa, djelatnosti novinskih agencija i ostale djelatnosti distribucije sadržaja
601;Emitiranje radijskog programa i distribucija audio sadržaja
6010;Emitiranje radijskog programa i distribucija audio sadržaja
60100;Emitiranje radijskog programa i distribucija audio sadržaja
602;Emitiranje televizijskog programa i video distribucija
6020;Emitiranje televizijskog programa i video distribucija
60200;Emitiranje televizijskog programa i video distribucija
603;Djelatnosti novinskih agencija i ostale djelatnosti distribucije sadržaja
6031;Djelatnosti novinskih agencija
60310;Djelatnosti novinskih agencija
6039;Ostale djelatnosti distribucije sadržaja
60390;Ostale djelatnosti distribucije sadržaja
K;TELEKOMUNIKACIJE, RAČUNALNO PROGRAMIRANJE, SAVJETOVANJE, RAČUNALNA INFRASTRUKTURA I OSTALE INFORMACIJSKE USLUŽNE DJELATNOSTI
61;Telekomunikacije
611;Žičane, bežične i satelitske telekomunikacijske djelatnosti
6110;Žičane, bežične i satelitske telekomunikacijske djelatnosti
61100;Žičane, bežične i satelitske telekomunikacijske djelatnosti
612;Djelatnosti preprodaje telekomunikacijskih usluga i usluge posredovanja u telekomunikacijskim djelatnostima
6120;Djelatnosti preprodaje telekomunikacijskih usluga i usluge posredovanja u telekomunikacijskim djelatnostima
61200;Djelatnosti preprodaje telekomunikacijskih usluga i usluge posredovanja u telekomunikacijskim djelatnostima
619;Ostale telekomunikacijske djelatnosti
6190;Ostale telekomunikacijske djelatnosti
61900;Ostale telekomunikacijske djelatnosti
62;Računalno programiranje, savjetovanje i djelatnosti povezane s njima
621;Računalno programiranje
6210;Računalno programiranje
62101;Programiranje videoigara
62109;Ostalo računalno programiranje
622;Računalno savjetovanje i djelatnosti upravljanja računalnom opremom
6220;Računalno savjetovanje i djelatnosti upravljanja računalnom opremom
62200;Računalno savjetovanje i djelatnosti upravljanja računalnom opremom
629;Ostale uslužne djelatnosti u vezi s informacijskom tehnologijom i računalima
6290;Ostale uslužne djelatnosti u vezi s informacijskom tehnologijom i računalima
62900;Ostale uslužne djelatnosti u vezi s informacijskom tehnologijom i računalima
63;Računalna infrastruktura, obrada podataka, usluge poslužitelja i ostale informacijske uslužne djelatnosti
631;Računalna infrastruktura, obrada podataka, usluge poslužitelja i povezane djelatnosti
6310;Računalna infrastruktura, obrada podataka, usluge poslužitelja i povezane djelatnosti
63100;Računalna infrastruktura, obrada podataka, usluge poslužitelja i povezane djelatnosti
639;Djelatnosti internetskih portala i druge informacijske uslužne djelatnosti
6391;Djelatnosti internetskih portala
63910;Djelatnosti internetskih portala
6392;Ostale informacijske uslužne djelatnosti
63920;Ostale informacijske uslužne djelatnosti
L;FINANCIJSKE DJELATNOSTI I DJELATNOSTI OSIGURANJA
64;Financijske uslužne djelatnosti, osim osiguranja i mirovinskih fondova
641;Novčarsko posredovanje
6411;Središnje bankarstvo
64110;Središnje bankarstvo
6419;Ostalo novčarsko posredovanje
64190;Ostalo novčarsko posredovanje
642;Djelatnosti holding-društava i kanala financiranja
6421;Djelatnosti holding-društava
64210;Djelatnosti holding-društava
6422;Djelatnosti kanala financiranja
64220;Djelatnosti kanala financiranja
643;Djelatnosti uzajamnih fondova (trustova), ostalih fondova i sličnih financijskih subjekata
6431;Djelatnost novčanih i nenovčanih investicijskih fondova
64310;Djelatnost novčanih i nenovčanih investicijskih fondova
6432;Djelatnosti uzajamnih fondova (trustova), imovinskih računa i računa o zastupanju
64320;Djelatnosti uzajamnih fondova (trustova), imovinskih računa i računa o zastupanju
649;Ostale financijske uslužne djelatnosti, osim osiguranja i mirovinskih fondova
6491;Financijski leasing
64910;Financijski leasing
6492;Ostalo kreditno posredovanje
64920;Ostalo kreditno posredovanje
6499;Ostale financijske uslužne djelatnosti, osim osiguranja i mirovinskih fondova, d. n.
64990;Ostale financijske uslužne djelatnosti, osim osiguranja i mirovinskih fondova, d. n.
65;Osiguranje, reosiguranje i mirovinski fondovi, osim obveznog socijalnog osiguranja
651;Osiguranje
6511;Životno osiguranje
65110;Životno osiguranje
6512;Ostalo osiguranje, osim životnog
65120;Ostalo osiguranje, osim životnog
652;Reosiguranje
6520;Reosiguranje
65200;Reosiguranje
653;Mirovinski fondovi
6530;Mirovinski fondovi
65300;Mirovinski fondovi
66;Pomoćne djelatnosti za financijske usluge i djelatnosti osiguranja
661;Pomoćne djelatnosti za financijske usluge, osim osiguranja i mirovinskih fondova
6611;Upravljanje financijskim tržištima
66110;Upravljanje financijskim tržištima
6612;Djelatnosti posredovanja u poslovanju vrijednosnim papirima i robnim ugovorima
66120;Djelatnosti posredovanja u poslovanju vrijednosnim papirima i robnim ugovorima
6619;Ostale pomoćne djelatnosti za financijske usluge, osim osiguranja i mirovinskih fondova
66190;Ostale pomoćne djelatnosti za financijske usluge, osim osiguranja i mirovinskih fondova
662;Pomoćne djelatnosti u osiguranju i mirovinskim fondovima
6621;Procjena rizika i štete
66210;Procjena rizika i štete
6622;Djelatnosti agenata i posrednika osiguranja
66220;Djelatnosti agenata i posrednika osiguranja
6629;Pomoćne djelatnosti u osiguranju i mirovinskim fondovima, d. n.
66290;Pomoćne djelatnosti u osiguranju i mirovinskim fondovima, d. n.
663;Djelatnosti upravljanja fondovima
6630;Djelatnosti upravljanja fondovima
66300;Djelatnosti upravljanja fondovima
M;POSLOVANJE NEKRETNINAMA
68;Poslovanje nekretninama
681;Kupnja i prodaja vlastitih nekretnina i organizacija izvedbe projekata za zgrade
6811;Kupnja i prodaja vlastitih nekretnina
68110;Kupnja i prodaja vlastitih nekretnina
6812;Organizacija izvedbe projekata za zgrade
68120;Organizacija izvedbe projekata za zgrade
682;Iznajmljivanje i upravljanje vlastitim nekretninama ili nekretninama uzetim u zakup (leasing)
6820;Iznajmljivanje i upravljanje vlastitim nekretninama ili nekretninama uzetim u zakup (leasing)
68200;Iznajmljivanje i upravljanje vlastitim nekretninama ili nekretninama uzetim u zakup (leasing)
683;Poslovanje nekretninama uz naplatu ili na osnovi ugovora
6831;Uslužne djelatnosti posredovanja u poslovanju nekretninama
68310;Uslužne djelatnosti posredovanja u poslovanju nekretninama
6832;Ostale djelatnosti poslovanja nekretninama uz naplatu ili na osnovi ugovora
68320;Ostale djelatnosti poslovanja nekretninama uz naplatu ili na osnovi ugovora
N;STRUČNE, ZNANSTVENE I TEHNIČKE DJELATNOSTI
69;Pravne i računovodstvene djelatnosti
691;Pravne djelatnosti
6910;Pravne djelatnosti
69101;Djelatnosti javnih bilježnika
69102;Djelatnosti odvjetnika
69109;Ostale pravne djelatnosti
692;"Računovodstvene, knjigovodstvene i revizijske djelatnosti; porezno savjetovanje"
6920;"Računovodstvene, knjigovodstvene i revizijske djelatnosti; porezno savjetovanje"
69201;Računovodstvene i knjigovodstvene djelatnosti
69202;Revizijske djelatnosti
69203;Porezno savjetovanje
70;Upravljačke djelatnosti i savjetovanje u vezi s upravljanjem
701;Upravljačke djelatnosti
7010;Upravljačke djelatnosti
70100;Upravljačke djelatnosti
702;Savjetovanje u vezi s poslovanjem i ostalim upravljanjem
7020;Savjetovanje u vezi s poslovanjem i ostalim upravljanjem
70200;Savjetovanje u vezi s poslovanjem i ostalim upravljanjem
71;"Arhitektonske djelatnosti i inženjerstvo; tehničko ispitivanje i analiza"
711;Arhitektonske djelatnosti i inženjerstvo te s njima povezano tehničko savjetovanje
7111;Arhitektonske djelatnosti
71111;Arhitektonsko projektiranje
71112;Urbanističko i prostorno planiranje
7112;Inženjerstvo i s njim povezano tehničko savjetovanje
71121;Geodetske i geoinformatičke djelatnosti
71129;Ostalo inženjerstvo i s njim povezano tehničko savjetovanje
712;Tehničko ispitivanje i analiza
7120;Tehničko ispitivanje i analiza
71200;Tehničko ispitivanje i analiza
72;Znanstveno istraživanje i razvoj
721;Istraživanje i eksperimentalni razvoj u prirodnim, tehničkim i tehnološkim znanostima
7210;Istraživanje i eksperimentalni razvoj u prirodnim, tehničkim i tehnološkim znanostima
72100;Istraživanje i eksperimentalni razvoj u prirodnim, tehničkim i tehnološkim znanostima
722;Istraživanje i eksperimentalni razvoj u društvenim i humanističkim znanostima
7220;Istraživanje i eksperimentalni razvoj u društvenim i humanističkim znanostima
72200;Istraživanje i eksperimentalni razvoj u društvenim i humanističkim znanostima
73;Djelatnosti promidžbe, istraživanje tržišta i odnosi s javnošću
731;Djelatnosti promidžbe
7311;Djelatnosti agencija za promidžbu
73110;Djelatnosti agencija za promidžbu
7312;Oglašavanje putem medija
73120;Oglašavanje putem medija
732;Istraživanje tržišta i ispitivanje javnog mnijenja
7320;Istraživanje tržišta i ispitivanje javnog mnijenja
73200;Istraživanje tržišta i ispitivanje javnog mnijenja
733;Odnosi s javnošću i djelatnosti priopćavanja
7330;Odnosi s javnošću i djelatnosti priopćavanja
73300;Odnosi s javnošću i djelatnosti priopćavanja
74;Ostale stručne, znanstvene i tehničke djelatnosti
741;Specijalizirane dizajnerske djelatnosti
7411;Djelatnosti industrijskog i modnog dizajna
74110;Djelatnosti industrijskog i modnog dizajna
7412;Djelatnosti grafičkog dizajna i vizualnih komunikacija
74120;Djelatnosti grafičkog dizajna i vizualnih komunikacija
7413;Djelatnosti uređivanja interijera
74130;Djelatnosti uređivanja interijera
7414;Ostale specijalizirane dizajnerske djelatnosti
74140;Ostale specijalizirane dizajnerske djelatnosti
742;Fotografske djelatnosti
7420;Fotografske djelatnosti
74200;Fotografske djelatnosti
743;Djelatnosti pismenog i usmenog prevođenja i djelatnosti tumača
7430;Djelatnosti pismenog i usmenog prevođenja
74301;Djelatnosti pismenog prevođenja
74302;Djelatnosti usmenog prevođenja
749;Ostale stručne, znanstvene i tehničke djelatnosti, d. n.
7491;Uslužne djelatnosti posredovanja i promidžbe u vezi s patentima
74910;Uslužne djelatnosti posredovanja i promidžbe u vezi s patentima
7499;Sve ostale stručne, znanstvene i tehničke djelatnosti, d. n.
74991;Djelatnosti zaštite na radu
74999;Sve ostale razne stručne, znanstvene i tehničke djelatnosti, d. n.
75;Veterinarske djelatnosti
750;Veterinarske djelatnosti
7500;Veterinarske djelatnosti
75000;Veterinarske djelatnosti
O;ADMINISTRATIVNE I POMOĆNE USLUŽNE DJELATNOSTI
77;Djelatnosti iznajmljivanja i davanja u zakup (leasing)
771;Iznajmljivanje i davanje u zakup (leasing) motornih vozila
7711;Iznajmljivanje i davanje u zakup (leasing) automobila i motornih vozila lake kategorije
77110;Iznajmljivanje i davanje u zakup (leasing) automobila i motornih vozila lake kategorije
7712;Iznajmljivanje i davanje u zakup (leasing) kamiona
77120;Iznajmljivanje i davanje u zakup (leasing) kamiona
772;Iznajmljivanje i davanje u zakup (leasing) predmeta za osobnu uporabu i kućanstvo
7721;Iznajmljivanje i davanje u zakup (leasing) opreme za rekreaciju i sport
77211;Iznajmljivanje i davanje u zakup (leasing) plovila za razonodu
77219;Iznajmljivanje i davanje u zakup (leasing) ostale opreme za rekreaciju i sport
7722;Iznajmljivanje i davanje u zakup (leasing) ostalih predmeta za osobnu uporabu i kućanstvo
77220;Iznajmljivanje i davanje u zakup (leasing) ostalih predmeta za osobnu uporabu i kućanstvo
773;Iznajmljivanje i davanje u zakup (leasing) ostalih strojeva, opreme i materijalnih dobara
7731;Iznajmljivanje i davanje u zakup (leasing) poljoprivrednih strojeva i opreme
77310;Iznajmljivanje i davanje u zakup (leasing) poljoprivrednih strojeva i opreme
7732;Iznajmljivanje i davanje u zakup (leasing) strojeva i opreme za građevinarstvo i inženjerstvo
77320;Iznajmljivanje i davanje u zakup (leasing) strojeva i opreme za građevinarstvo i inženjerstvo
7733;Iznajmljivanje i davanje u zakup (leasing) uredskih strojeva i opreme te računala
77330;Iznajmljivanje i davanje u zakup (leasing) uredskih strojeva i opreme te računala
7734;Iznajmljivanje i davanje u zakup (leasing) plovnih prijevoznih sredstava
77340;Iznajmljivanje i davanje u zakup (leasing) plovnih prijevoznih sredstava
7735;Iznajmljivanje i davanje u zakup (leasing) zračnih prijevoznih sredstava
77350;Iznajmljivanje i davanje u zakup (leasing) zračnih prijevoznih sredstava
7739;Iznajmljivanje i davanje u zakup (leasing) ostalih strojeva, opreme i materijalnih dobara, d. n.
77390;Iznajmljivanje i davanje u zakup (leasing) ostalih strojeva, opreme i materijalnih dobara, d. n.
774;Davanje u zakup (leasing) prava na uporabu intelektualnog vlasništva i sličnih proizvoda, osim radova koji su zaštićeni autorskim pravima
7740;Davanje u zakup (leasing) prava na uporabu intelektualnog vlasništva i sličnih proizvoda, osim radova koji su zaštićeni autorskim pravima
77400;Davanje u zakup (leasing) prava na uporabu intelektualnog vlasništva i sličnih proizvoda, osim radova koji su zaštićeni autorskim pravima
775;Usluge posredovanja u iznajmljivanju i davanju u zakup (leasing) materijalnih dobara i nefinancijske nematerijalne imovine
7751;Usluge posredovanja u iznajmljivanju i davanju u zakup (leasing) automobila, kampera i prikolica
77510;Usluge posredovanja u iznajmljivanju i davanju u zakup (leasing) automobila, kampera i prikolica
7752;Usluge posredovanja u iznajmljivanju i davanju u zakup (leasing) ostalih materijalnih dobara i nefinancijske nematerijalne imovine
77520;Usluge posredovanja u iznajmljivanju i davanju u zakup (leasing) ostalih materijalnih dobara i nefinancijske nematerijalne imovine
78;Djelatnosti zapošljavanja
781;Djelatnosti agencija za zapošljavanje
7810;Djelatnosti agencija za zapošljavanje
78100;Djelatnosti agencija za zapošljavanje
782;Djelatnosti agencija za privremeno zapošljavanje i ostalo ustupanje ljudskih resursa
7820;Djelatnosti agencija za privremeno zapošljavanje i ostalo ustupanje ljudskih resursa
78200;Djelatnosti agencija za privremeno zapošljavanje i ostalo ustupanje ljudskih resursa
79;Putničke agencije, organizatori putovanja (turoperatori) i ostale rezervacijske usluge te djelatnosti povezane s njima
791;Djelatnosti putničkih agencija i organizatora putovanja (turoperatora)
7911;Djelatnosti putničkih agencija
79110;Djelatnosti putničkih agencija
7912;Djelatnosti organizatora putovanja (turoperatora)
79120;Djelatnosti organizatora putovanja (turoperatora)
799;Ostale rezervacijske usluge i djelatnosti povezane s njima
7990;Ostale rezervacijske usluge i djelatnosti povezane s njima
79900;Ostale rezervacijske usluge i djelatnosti povezane s njima
80;Istražne i zaštitne djelatnosti
800;Istražne i zaštitne djelatnosti
8001;Istražne djelatnosti i djelatnosti privatne zaštite
80011;Istražne djelatnosti
80012;Djelatnosti privatne zaštite
8009;Zaštitne djelatnosti, d. n.
80090;Zaštitne djelatnosti, d. n.
81;Usluge u vezi s upravljanjem i održavanjem zgrada te djelatnosti uređenja i održavanja krajolika
811;Održavanje zgrada
8110;Održavanje zgrada
81100;Održavanje zgrada
812;Djelatnosti čišćenja
8121;Osnovno čišćenje zgrada
81210;Osnovno čišćenje zgrada
8122;Ostale djelatnosti čišćenja zgrada i objekata
81220;Ostale djelatnosti čišćenja zgrada i objekata
8123;Ostale djelatnosti čišćenja
81230;Ostale djelatnosti čišćenja
813;Uslužne djelatnosti uređenja i održavanja krajolika
8130;Uslužne djelatnosti uređenja i održavanja krajolika
81300;Uslužne djelatnosti uređenja i održavanja krajolika
82;Uredske administrativne i pomoćne djelatnosti te ostale poslovne pomoćne djelatnosti
821;Uredske administrativne i pomoćne djelatnosti
8210;Uredske administrativne i pomoćne djelatnosti
82100;Uredske administrativne i pomoćne djelatnosti
822;Djelatnosti pozivnih centara
8220;Djelatnosti pozivnih centara
82200;Djelatnosti pozivnih centara
823;Organizacija sastanaka i poslovnih sajmova
8230;Organizacija sastanaka i poslovnih sajmova
82300;Organizacija sastanaka i poslovnih sajmova
824;Uslužne djelatnosti posredovanja za poslovne pomoćne uslužne djelatnosti, d. n.
8240;Uslužne djelatnosti posredovanja za poslovne pomoćne uslužne djelatnosti, d. n.
82400;Uslužne djelatnosti posredovanja za poslovne pomoćne uslužne djelatnosti, d. n.
829;Poslovne pomoćne uslužne djelatnosti, d. n.
8291;Djelatnosti agencija za prikupljanje i naplatu računa te kreditnih ureda
82910;Djelatnosti agencija za prikupljanje i naplatu računa te kreditnih ureda
8292;Djelatnosti pakiranja
82920;Djelatnosti pakiranja
8299;Ostale poslovne pomoćne uslužne djelatnosti, d. n.
82990;Ostale poslovne pomoćne uslužne djelatnosti, d. n.
P;"JAVNA UPRAVA I OBRANA; OBVEZNO SOCIJALNO OSIGURANJE"
84;"Javna uprava i obrana; obvezno socijalno osiguranje"
841;Državna uprava, ekonomska i socijalna politika te politika okoliša zajednice 
8411;Opće djelatnosti javne uprave
84110;Opće djelatnosti javne uprave
8412;Reguliranje zdravstvenih, obrazovnih, kulturnih i drugih društvenih usluga
84120;Reguliranje zdravstvenih, obrazovnih, kulturnih i drugih društvenih usluga
8413;Reguliranje i poboljšanje poslovanja u gospodarstvu
84130;Reguliranje i poboljšanje poslovanja u gospodarstvu
842;Pružanje usluga zajednici kao cjelini
8421;Vanjski poslovi
84210;Vanjski poslovi
8422;Poslovi obrane
84220;Poslovi obrane
8423;Sudske i pravosudne djelatnosti
84230;Sudske i pravosudne djelatnosti
8424;Poslovi javnog reda i sigurnosti
84240;Poslovi javnog reda i sigurnosti
8425;Djelatnosti vatrogasne službe
84250;Djelatnosti vatrogasne službe
843;Djelatnosti obveznog socijalnog osiguranja
8430;Djelatnosti obveznog socijalnog osiguranja
84300;Djelatnosti obveznog socijalnog osiguranja
Q;OBRAZOVANJE
85;Obrazovanje
851;Predškolsko obrazovanje
8510;Predškolsko obrazovanje
85100;Predškolsko obrazovanje
852;Osnovnoškolsko obrazovanje
8520;Osnovnoškolsko obrazovanje
85200;Osnovnoškolsko obrazovanje
853;Srednjoškolsko obrazovanje i obrazovanje nakon srednjoškolskog koje nije visoko
8531;Opće srednjoškolsko obrazovanje
85310;Opće srednjoškolsko obrazovanje
8532;Srednjoškolsko strukovno obrazovanje
85320;Srednjoškolsko strukovno obrazovanje
8533;Obrazovanje nakon srednjoškolskog koje nije visoko
85330;Obrazovanje nakon srednjoškolskog koje nije visoko
854;Visoko obrazovanje
8540;Visoko obrazovanje
85400;Visoko obrazovanje
855;Ostalo obrazovanje
8551;Obrazovanje i poučavanje u području sporta i rekreacije
85510;Obrazovanje i poučavanje u području sporta i rekreacije
8552;Obrazovanje i poučavanje u području kulture
85520;Obrazovanje i poučavanje u području kulture
8553;Djelatnosti vozačkih škola
85530;Djelatnosti vozačkih škola
8559;Ostalo obrazovanje i poučavanje, d. n.
85590;Ostalo obrazovanje i poučavanje, d. n.
856;Pomoćne djelatnosti u obrazovanju
8561;Uslužne djelatnosti posredovanja za tečajeve i mentorstva
85610;Uslužne djelatnosti posredovanja za tečajeve i mentorstva
8569;Pomoćne djelatnosti u obrazovanju, d. n.
85690;Pomoćne djelatnosti u obrazovanju, d. n.
R;DJELATNOSTI ZDRAVSTVENE ZAŠTITE I SOCIJALNE SKRBI
86;Djelatnosti zdravstvene zaštite
861;Djelatnosti bolnica
8610;Djelatnosti bolnica
86100;Djelatnosti bolnica
862;Djelatnosti medicine i dentalne medicine
8621;Djelatnosti opće medicine
86210;Djelatnosti opće medicine
8622;Specijalistička medicinska djelatnost
86220;Specijalistička medicinska djelatnost
8623;Djelatnost dentalne medicine
86230;Djelatnost dentalne medicine
869;Ostale djelatnosti zdravstvene zaštite
8691;Usluge dijagnostičkog snimanja i djelatnosti medicinskog laboratorija
86910;Usluge dijagnostičkog snimanja i djelatnosti medicinskog laboratorija
8692;Prijevoz pacijenata vozilom hitne pomoći
86920;Prijevoz pacijenata vozilom hitne pomoći
8693;Djelatnosti psihologa i psihoterapeuta, osim doktora medicine
86930;Djelatnosti psihologa i psihoterapeuta, osim doktora medicine
8694;Djelatnosti medicinskih sestara i primalja
86940;Djelatnosti medicinskih sestara i primalja
8695;Djelatnosti fizioterapeuta
86950;Djelatnosti fizioterapeuta
8696;Djelatnosti tradicionalne, komplementarne i alternativne medicine
86960;Djelatnosti tradicionalne, komplementarne i alternativne medicine
8697;Uslužne djelatnosti posredovanja za medicinske, stomatološke i druge zdravstvene usluge
86970;Uslužne djelatnosti posredovanja za medicinske, stomatološke i druge zdravstvene usluge
8699;Ostale djelatnosti zdravstvene zaštite, d. n.
86990;Ostale djelatnosti zdravstvene zaštite, d. n.
87;Djelatnosti socijalne skrbi sa smještajem
871;Djelatnosti ustanova za njegu sa smještajem
8710;Djelatnosti ustanova za njegu sa smještajem
87100;Djelatnosti ustanova za njegu sa smještajem
872;Djelatnosti socijalne skrbi sa smještajem za osobe koje boluju od nedijagnosticirane ili dijagnosticirane mentalne bolesti ili ovisnosti o opojnim sredstvima
8720;Djelatnosti socijalne skrbi sa smještajem za osobe koje boluju od nedijagnosticirane ili dijagnosticirane mentalne bolesti ili ovisnosti o opojnim sredstvima
87200;Djelatnosti socijalne skrbi sa smještajem za osobe koje boluju od nedijagnosticirane ili dijagnosticirane mentalne bolesti ili ovisnosti o opojnim sredstvima
873;Djelatnosti socijalne skrbi sa smještajem za starije osobe i osobe s fizičkim invaliditetom
8730;Djelatnosti socijalne skrbi sa smještajem za starije osobe i osobe s fizičkim invaliditetom
87300;Djelatnosti socijalne skrbi sa smještajem za starije osobe i osobe s fizičkim invaliditetom
879;Ostale djelatnosti socijalne skrbi sa smještajem
8791;Usluge posredovanja za djelatnosti socijalne skrbi sa smještajem
87910;Usluge posredovanja za djelatnosti socijalne skrbi sa smještajem
8799;Ostale djelatnosti socijalne skrbi sa smještajem, d. n.
87991;Djelatnosti ustanova za skrb o braniteljsko-stradalničkoj populaciji iz Domovinskog rata s trajnim smještajem
87992;Djelatnosti ustanova za skrb o braniteljsko-stradalničkoj populaciji iz Domovinskog rata s privremenim smještajem i boravkom
87999;Ostale razne djelatnosti socijalne skrbi sa smještajem, d. n.
88;Djelatnosti socijalne skrbi bez smještaja
881;Djelatnosti socijalne skrbi bez smještaja za starije osobe ili osobe s invaliditetom
8810;Djelatnosti socijalne skrbi bez smještaja za starije osobe ili osobe s invaliditetom
88100;Djelatnosti socijalne skrbi bez smještaja za starije osobe ili osobe s invaliditetom
889;Ostale djelatnosti socijalne skrbi bez smještaja
8891;Djelatnosti dnevne skrbi o djeci
88910;Djelatnosti dnevne skrbi o djeci
8899;Ostale djelatnosti socijalne skrbi bez smještaja, d. n.
88990;Ostale djelatnosti socijalne skrbi bez smještaja, d. n.
S;UMJETNOST, SPORT I REKREACIJA
90;Umjetničko stvaralaštvo i izvedbene umjetnosti
901;Umjetničko stvaralaštvo
9011;Književno i glazbeno stvaralaštvo 
90111;Književno stvaralaštvo 
90112;Glazbeno stvaralaštvo 
9012;Vizualne umjetnosti
90120;Vizualne umjetnosti
9013;Ostalo umjetničko stvaralaštvo
90130;Ostalo umjetničko stvaralaštvo
902;Izvedbene umjetnosti
9020;Izvedbene umjetnosti
90200;Izvedbene umjetnosti
903;Pomoćne djelatnosti u umjetničkom stvaralaštvu i izvedbenim umjetnostima
9031;Rad umjetničkih objekata i lokaliteta
90310;Rad umjetničkih objekata i lokaliteta
9039;Ostale pomoćne djelatnosti u umjetničkom stvaralaštvu i izvedbenim umjetnostima
90391;Djelatnosti producenata i organizatora umjetničkih događaja
90399;Ostale pomoćne djelatnosti u umjetničkom stvaralaštvu i izvedbenim umjetnostima
91;Knjižnice, arhivi, muzeji i ostale kulturne djelatnosti
911;Djelatnosti knjižnica i arhiva
9111;Djelatnosti knjižnica
91110;Djelatnosti knjižnica
9112;Djelatnosti arhiva
91120;Djelatnosti arhiva
912;Djelatnosti muzeja, zbirki, povijesnih lokaliteta i spomenika kulture
9121;Djelatnosti muzeja i zbirki
91210;Djelatnosti muzeja i zbirki
9122;Djelatnost povijesnih lokaliteta i spomenika kulture
91220;Djelatnost povijesnih lokaliteta i spomenika kulture
913;Konzervatorske, restauratorske i ostale pomoćne djelatnosti u području kulturne baštine
9130;Konzervatorske, restauratorske i ostale pomoćne djelatnosti u području kulturne baštine
91300;Konzervatorske, restauratorske i ostale pomoćne djelatnosti u području kulturne baštine
